device_id,device_type,model_year,device_age,power_consumption,energy_savings_yr,co2_saved_kg_yr,region,recycling_rate
LP16AS29999,Laptop,2016,8,61,87.3,52.4,Asia,0.86
LP16NA84519,Laptop,2016,8,62,49.2,19.7,North America,0.87
LP16NA75384,Laptop,2016,8,60,48.5,19.4,North America,0.86
LP16AS35967,Laptop,2016,8,59,36.2,21.7,Asia,0.89
LP16AS94069,Laptop,2016,8,64,53.4,32,Asia,0.87
LP16NA85163,Laptop,2016,8,60,58,23.2,North America,0.87
DT16NA26198,Desktop,2016,8,89,27,10.8,North America,0.97
DT16NA51953,Desktop,2016,8,90,95.2,38.1,North America,0.95
LP16NA89088,Laptop,2016,8,63,58.7,23.5,North America,0.88
LP16NA24120,Laptop,2016,8,63,32.5,13,North America,0.87
LP16AS54821,Laptop,2016,8,63,83,49.8,Asia,0.86
LP16AS39987,Laptop,2016,8,62,41.2,24.7,Asia,0.87
LP16AS19099,Laptop,2016,8,66,62.5,37.5,Asia,0.89
LP16NA32599,Laptop,2016,8,61,27.3,10.9,North America,0.89
LP16NA66751,Laptop,2016,8,61,41.5,16.6,North America,0.89
DT16AS22428,Desktop,2016,8,86,42.1,25.3,Asia,0.97
LP16NA62514,Laptop,2016,8,61,71.5,28.6,North America,0.88
LP16AS65653,Laptop,2016,8,61,22.9,13.8,Asia,0.87
LP16NA20113,Laptop,2016,8,64,65.1,26,North America,0.86
DT16NA97962,Desktop,2016,8,89,33.7,13.5,North America,0.95
LP16AS64758,Laptop,2016,8,65,45.2,27.1,Asia,0.88
LP16NA59054,Laptop,2016,8,59,66.5,26.6,North America,0.86
DT16AS11375,Desktop,2016,8,89,62.1,37.3,Asia,0.94
LP16NA85983,Laptop,2016,8,59,57.9,23.2,North America,0.88
DT16AS32930,Desktop,2016,8,88,29.2,17.5,Asia,0.93
LP16EU91551,Laptop,2016,8,60,68.5,17.1,Europe,0.87
LP16AS84096,Laptop,2016,8,65,37.7,22.6,Asia,0.86
DT16AS97056,Desktop,2016,8,90,36.6,22,Asia,0.96
LP16NA79909,Laptop,2016,8,61,79.2,31.7,North America,0.89
LP16EU52699,Laptop,2016,8,64,90.7,22.7,Europe,0.86
LP16AS31398,Laptop,2016,8,59,23.9,14.4,Asia,0.86
LP16NA86382,Laptop,2016,8,63,39.4,15.8,North America,0.88
LP16NA73118,Laptop,2016,8,65,88.8,35.5,North America,0.88
LP16AS61074,Laptop,2016,8,60,44.2,26.5,Asia,0.86
LP16AS56283,Laptop,2016,8,61,9.4,5.6,Asia,0.86
LP16AS61581,Laptop,2016,8,64,59,35.4,Asia,0.88
LP16NA82540,Laptop,2016,8,60,17.1,6.8,North America,0.88
LP16EU77944,Laptop,2016,8,60,45.7,11.4,Europe,0.89
LP16EU15738,Laptop,2016,8,64,62.3,15.6,Europe,0.89
LP16NA64356,Laptop,2016,8,63,47,18.8,North America,0.88
DT16AS79051,Desktop,2016,8,88,56.2,33.7,Asia,0.93
DT16NA80155,Desktop,2016,8,90,74.1,29.6,North America,0.94
LP16NA28336,Laptop,2016,8,59,28.8,11.5,North America,0.87
LP16AS95652,Laptop,2016,8,65,52.7,31.6,Asia,0.88
DT16NA29490,Desktop,2016,8,88,64.8,25.9,North America,0.95
LP16AS46208,Laptop,2016,8,64,71.3,42.8,Asia,0.88
LP16AS69002,Laptop,2016,8,58,51.7,31,Asia,0.88
LP16NA98156,Laptop,2016,8,61,46.3,18.5,North America,0.86
LP16NA34093,Laptop,2016,8,64,90,36,North America,0.87
LP16AS23117,Laptop,2016,8,65,83.4,50.1,Asia,0.88
LP16AS51102,Laptop,2016,8,62,37.1,22.3,Asia,0.86
DT16EU62983,Desktop,2016,8,87,48.1,12,Europe,0.96
LP16NA75685,Laptop,2016,8,62,49.5,19.8,North America,0.86
DT16AS66527,Desktop,2016,8,89,12.5,7.5,Asia,0.95
LP16NA43881,Laptop,2016,8,60,65.8,26.3,North America,0.87
LP16AS73555,Laptop,2016,8,63,53.8,32.3,Asia,0.87
LP16AS76075,Laptop,2016,8,60,41.4,24.9,Asia,0.86
LP16AS59125,Laptop,2016,8,62,56,33.6,Asia,0.87
LP16EU34321,Laptop,2016,8,61,50.4,12.6,Europe,0.87
DT16EU98144,Desktop,2016,8,91,64.8,16.2,Europe,0.93
LP16AS26632,Laptop,2016,8,60,45.9,27.5,Asia,0.87
DT16NA80259,Desktop,2016,8,88,38,15.2,North America,0.95
LP16EU32623,Laptop,2016,8,60,32.9,8.2,Europe,0.88
LP16NA15353,Laptop,2016,8,64,70.7,28.3,North America,0.86
DT16AS65275,Desktop,2016,8,90,60.3,36.2,Asia,0.97
DT16AS90994,Desktop,2016,8,91,55.1,33.1,Asia,0.95
DT16NA37047,Desktop,2016,8,88,9.1,3.7,North America,0.96
DT16AS69805,Desktop,2016,8,89,60.7,36.4,Asia,0.94
LP16NA96521,Laptop,2016,8,63,46.3,18.5,North America,0.86
DT16AS63968,Desktop,2016,8,94,26,15.6,Asia,0.95
DT16NA68685,Desktop,2016,8,87,23.8,9.5,North America,0.93
LP16NA94599,Laptop,2016,8,61,56.7,22.7,North America,0.86
LP16AS43559,Laptop,2016,8,64,65.1,39,Asia,0.87
LP16AS11560,Laptop,2016,8,66,74.9,44.9,Asia,0.87
LP16NA79055,Laptop,2016,8,64,53.7,21.5,North America,0.86
LP16AS71794,Laptop,2016,8,64,16,9.6,Asia,0.87
LP16AS73097,Laptop,2016,8,65,73.7,44.2,Asia,0.87
LP16EU21545,Laptop,2016,8,59,83,20.7,Europe,0.87
LP16AS29406,Laptop,2016,8,64,50.6,30.4,Asia,0.88
LP16NA66024,Laptop,2016,8,63,55.3,22.1,North America,0.88
LP16EU54855,Laptop,2016,8,65,34.4,8.6,Europe,0.87
DT16AS70815,Desktop,2016,8,92,81.9,49.1,Asia,0.96
LP16AS22814,Laptop,2016,8,61,29.7,17.8,Asia,0.86
LP16NA46780,Laptop,2016,8,63,53.4,21.4,North America,0.88
LP16NA45068,Laptop,2016,8,64,112.6,45,North America,0.87
LP16NA71010,Laptop,2016,8,67,65,26,North America,0.88
LP16NA90659,Laptop,2016,8,65,52.9,21.2,North America,0.88
LP16NA65832,Laptop,2016,8,60,24.4,9.8,North America,0.86
LP16AS89155,Laptop,2016,8,60,46.2,27.7,Asia,0.89
LP16NA48159,Laptop,2016,8,62,72.6,29,North America,0.86
LP16NA35299,Laptop,2016,8,62,44.7,17.9,North America,0.87
LP16EU90457,Laptop,2016,8,64,108.4,27.1,Europe,0.89
DT16NA77005,Desktop,2016,8,90,44,17.6,North America,0.96
LP16NA65463,Laptop,2016,8,67,81.2,32.5,North America,0.87
LP16AS51985,Laptop,2016,8,65,50.4,30.3,Asia,0.89
DT16AS94142,Desktop,2016,8,90,54.2,32.5,Asia,0.95
LP16NA14249,Laptop,2016,8,62,44.9,18,North America,0.88
LP16AS30091,Laptop,2016,8,63,32.5,19.5,Asia,0.86
DT16AS21328,Desktop,2016,8,87,25.3,15.2,Asia,0.96
LP16NA18618,Laptop,2016,8,63,72.8,29.1,North America,0.88
LP16AS29300,Laptop,2016,8,64,88.4,53.1,Asia,0.87
LP16NA71443,Laptop,2016,8,64,32.9,13.1,North America,0.86
DT16AS82415,Desktop,2016,8,91,38.2,22.9,Asia,0.97
LP16AS11968,Laptop,2016,8,64,42.2,25.3,Asia,0.86
LP16EU43576,Laptop,2016,8,66,101.6,25.4,Europe,0.9
DT16AS10053,Desktop,2016,8,90,25.6,15.3,Asia,0.97
LP16AS96900,Laptop,2016,8,64,60.7,36.4,Asia,0.86
DT16AS48170,Desktop,2016,8,90,42.6,25.6,Asia,0.93
LP16AS44905,Laptop,2016,8,63,66.7,40,Asia,0.86
LP16AS85371,Laptop,2016,8,61,49.7,29.8,Asia,0.87
LP16AS22904,Laptop,2016,8,66,59.3,35.6,Asia,0.87
LP16NA91613,Laptop,2016,8,61,70.5,28.2,North America,0.86
LP16NA32307,Laptop,2016,8,62,9.1,3.6,North America,0.88
